,MPr1,MPr2,MPr3,MPr4,MPr5,MPr6,MIn1,MIn2,MIn3,MIn4,MIn5,MIn6
DG(14:0/18:0),-16.60964047,-16.60964047,-16.60964047,-16.60964047,1.476853441,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,1.301958492,0.851156615
DG(14:0/18:1),1.435748794,4.14574128,3.458412183,3.218253475,2.136115102,3.478245579,-16.60964047,4.385612248,-16.60964047,3.972159775,3.908074951,3.831018296
DG(14:0/18:2),3.421662385,1.588212811,-16.60964047,-0.002704545,2.591655615,0.169918457,-0.112404794,1.487149796,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(14:0/20:0),-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,0.809761501,-16.60964047,-16.60964047,-16.60964047,-16.60964047,1.294860119
DG(14:0/20:1),3.603227393,0.15026005,0.142977543,-0.360986324,1.542244405,0.119395642,1.302797809,2.221486375,1.464633774,2.749516193,2.890038899,2.121710915
DG(14:0/20:2),1.338401946,2.589038968,0.841509005,2.287871056,1.901465166,1.82804268,0.855640668,1.131857262,0.445300837,1.909396642,2.244672146,0.953741512
DG(14:0/20:3),-0.747349249,-0.332065163,0.994903137,0.841987323,0.857357482,0.447804438,-0.29927139,-1.353977685,-16.60964047,0.563334613,0.349128666,-2.089336663
DG(14:0/20:4),-16.60964047,0.253625485,-16.60964047,-0.779180761,0.306788572,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(14:0/20:5),0.291660163,-16.60964047,-16.60964047,-16.60964047,-16.60964047,0.73872319,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,0.887422489
DG(14:0/22:0),1.37935695,-16.60964047,1.473941079,-1.65145083,0.450889009,0.112962128,-1.255818054,-1.117265882,-16.60964047,0.749766798,1.459762208,1.055971846
DG(14:0/22:1),4.141606636,0.591523322,-0.155372758,-0.86640174,2.026939429,-0.359857708,-0.03086346,1.687854835,-16.60964047,-16.60964047,-0.458340631,-0.753335917
DG(14:0/22:2),0.556463432,-16.60964047,0.180490261,-0.204834239,-16.60964047,1.211369539,0.859883122,-16.60964047,-16.60964047,-0.763045578,0.570995139,0.021438001
DG(14:0/22:4),0.71766422,-16.60964047,2.482622864,-16.60964047,0.389486593,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,2.269480198
DG(14:0/22:5),-0.050234773,0.472287233,0.043611046,-16.60964047,0.589970796,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-0.38407156,-16.60964047,-0.702293095
DG(14:0/22:6),-0.774139139,0.568826588,0.265082655,1.18977517,-16.60964047,0.625089979,1.052297684,-0.551616337,-0.527064785,1.60093009,0.375022134,1.100677998
DG(14:1/14:1),-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,5.086842054,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(14:1/16:0),2.664880631,2.747542262,2.310135053,1.495679411,2.565349903,4.326608582,2.837083206,-16.60964047,-16.60964047,3.207884993,-16.60964047,-16.60964047
DG(14:1/16:1),-16.60964047,-16.60964047,-16.60964047,0.255807979,-16.60964047,-16.60964047,-16.60964047,3.274834589,-16.60964047,2.084222716,-16.60964047,-16.60964047
DG(14:1/18:1),0.952732319,1.937623875,1.902262252,4.93309004,-16.60964047,1.504048751,1.209567781,1.239390541,-16.60964047,1.777461011,1.474012997,0.722150976
DG(14:1/18:2),-0.246081446,-16.60964047,-16.60964047,0.751291217,-16.60964047,0.633838566,-0.249247376,-16.60964047,-16.60964047,-0.472396725,4.145268203,-16.60964047
DG(14:1/18:3),-0.187530265,-16.60964047,0.159116804,1.985855351,0.296863243,0.31887269,1.736542724,1.216042651,-0.459398837,-0.720283652,0.044393813,-16.60964047
DG(14:1/20:0),-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,4.04488172,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,4.021929034
DG(14:1/20:1),-0.233767421,0.788417093,1.814798573,2.939292479,1.123160407,1.618178521,0.794676698,1.053782005,-16.60964047,1.725385768,1.419319707,1.62042276
DG(14:1/20:2),-0.168932602,-16.60964047,-0.56103778,2.109997724,0.214433663,0.253195663,-16.60964047,-16.60964047,-16.60964047,-0.830335926,-0.233420286,-16.60964047
DG(14:1/20:3),0.856011528,2.16702803,2.399459615,2.578067457,0.974735649,3.369399355,4.284333984,2.997020505,2.120514823,2.035849776,4.012601483,1.950046767
DG(14:1/20:4),0.9911001,1.688064644,1.682545065,2.770867985,0.19227831,2.621129828,1.595563175,-0.436556396,-0.461909921,-0.39750042,-1.019164177,-0.269681573
DG(14:1/20:5),-16.60964047,-16.60964047,-16.60964047,6.34608392,0.968908876,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,0.810090248,-16.60964047
DG(14:1/22:0),-16.60964047,-16.60964047,-16.60964047,3.833922899,-16.60964047,2.252507014,-16.60964047,2.031916692,-16.60964047,-16.60964047,-16.60964047,-16.60964047
DG(14:1/22:1),-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,1.624125385,-16.60964047
DG(14:1/22:2),-0.739488803,-16.60964047,0.041520721,-16.60964047,-16.60964047,-16.60964047,0.551558095,-16.60964047,-16.60964047,-16.60964047,-0.012635188,-16.60964047
DG(14:1/22:4),3.906890877,4.176906554,4.349563874,5.441299222,3.776758121,5.853041392,6.006331939,5.795787986,3.344694479,3.386750607,5.223945528,3.538665126
DG(14:1/22:5),1.416981049,2.698042387,1.202090657,2.368654388,-16.60964047,2.445461447,1.681733642,2.224392591,-16.60964047,0.355384973,2.765538789,-16.60964047
DG(14:1/22:6),0.743195394,0.597132464,-16.60964047,1.143315471,1.246704768,1.355893981,1.388100725,-16.60964047,-16.60964047,-0.59054306,1.916889258,2.229624396
DG(16:0/16:0),2.894658565,3.546553431,4.064050287,3.9927645,2.35006026,5.088990155,2.612469253,3.98532611,2.4338522,3.317142486,2.885894523,-0.184319598
DG(16:0/16:1),2.595046716,3.333347827,3.841975691,3.733578375,2.313860917,4.086202903,2.610623443,2.724364885,-16.60964047,3.94025754,2.287163419,1.620434204
DG(16:0/18:0),0.793308912,1.21263136,1.907301372,1.092839354,-16.60964047,2.066919419,-0.267326454,2.406827608,1.139565915,1.630469965,2.09362754,-16.60964047
DG(16:0/18:1),4.123311576,4.431821556,5.575972672,4.590072766,3.729124969,5.426171165,3.826406509,4.365830098,2.645784664,3.858207894,4.220233587,2.586437048
DG(16:0/18:2),1.989347235,2.015452783,2.803395923,1.81560903,1.1877195,2.16733558,1.390952137,1.94729499,0.322012191,0.947253876,2.8993381,1.145180127
